date,price,span,max_price,min_price,profit
2024-01-02,183,1,183,183,0
2024-01-03,182,1,183,182,0
2024-01-04,180,1,183,180,0
2024-01-05,179,1,183,179,0
2024-01-08,183,5,183,179,4
2024-01-09,183,6,183,179,4
2024-01-10,184,7,184,179,5
2024-01-11,183,1,184,179,5
2024-01-12,184,9,184,179,5
2024-01-16,181,1,184,179,5
2024-01-17,180,1,184,179,5
2024-01-18,186,12,186,179,7
2024-01-19,189,13,189,179,10
2024-01-22,191,14,191,179,12
2024-01-23,193,15,193,179,14
2024-01-24,192,1,193,179,14
2024-01-25,192,2,193,179,14
2024-01-26,190,1,193,179,14
2024-01-29,189,1,193,179,14
2024-01-30,186,1,193,179,14
2024-01-31,182,1,193,179,14
2024-02-01,184,2,193,179,14
2024-02-02,183,1,193,179,14
2024-02-05,185,4,193,179,14
2024-02-06,187,6,193,179,14
2024-02-07,187,7,193,179,14
2024-02-08,186,1,193,179,14
2024-02-09,187,9,193,179,14
2024-02-12,185,1,193,179,14
2024-02-13,183,1,193,179,14
2024-02-14,182,1,193,179,14
2024-02-15,182,2,193,179,14
2024-02-16,180,1,193,179,14
2024-02-20,179,1,193,179,14
2024-02-21,180,3,193,179,14
2024-02-22,182,6,193,179,14
2024-02-23,180,1,193,179,14
2024-02-26,179,1,193,179,14
2024-02-27,180,3,193,179,14
2024-02-28,179,1,193,179,14
2024-02-29,179,2,193,179,14
2024-03-01,178,1,193,178,14
2024-03-04,173,1,193,173,14
2024-03-05,168,1,193,168,14
2024-03-06,167,1,193,167,14
2024-03-07,167,2,193,167,14
2024-03-08,169,4,193,167,14
2024-03-11,171,5,193,167,14
2024-03-12,171,6,193,167,14
2024-03-13,169,1,193,167,14
2024-03-14,171,8,193,167,14
2024-03-15,171,9,193,167,14
2024-03-18,172,10,193,167,14
2024-03-19,174,12,193,167,14
2024-03-20,177,13,193,167,14
2024-03-21,169,1,193,167,14
2024-03-22,170,2,193,167,14
2024-03-25,169,1,193,167,14
2024-03-26,168,1,193,167,14
2024-03-27,171,5,193,167,14
2024-03-28,169,1,193,167,14
2024-04-01,168,1,193,167,14
2024-04-02,167,1,193,167,14
2024-04-03,168,3,193,167,14
2024-04-04,167,1,193,167,14
2024-04-05,168,5,193,167,14
2024-04-08,166,1,193,166,14
2024-04-09,168,7,193,166,14
2024-04-10,166,1,193,166,14
2024-04-11,173,15,193,166,14
2024-04-12,174,16,193,166,14
2024-04-15,171,1,193,166,14
2024-04-16,167,1,193,166,14
2024-04-17,166,1,193,166,14
2024-04-18,165,1,193,165,14
2024-04-19,163,1,193,163,14
2024-04-22,164,2,193,163,14
2024-04-23,165,4,193,163,14
2024-04-24,167,7,193,163,14
2024-04-25,168,8,193,163,14
2024-04-26,167,1,193,163,14
2024-04-29,171,11,193,163,14
2024-04-30,168,1,193,163,14
2024-05-01,167,1,193,163,14
2024-05-02,171,14,193,163,14
2024-05-03,181,50,193,163,18
2024-05-06,180,1,193,163,18
2024-05-07,180,2,193,163,18
2024-05-08,181,53,193,163,18
