date,actual,predicted
2025-10-23,259,258.57
2025-10-24,262,258.45
2025-10-27,268,265.01
2025-10-28,268,265.49
2025-10-29,269,267.06
2025-10-30,270,268.11
2025-10-31,269,269.6
2025-11-03,268,268.7
2025-11-04,269,269.4
2025-11-05,269,269.59
2025-11-06,269,268.12
2025-11-07,267,267.8
2025-11-10,269,270.95
2025-11-11,274,270.45
2025-11-12,273,271.49
2025-11-13,272,272.7
2025-11-14,272,272.53
2025-11-17,267,267.8
2025-11-18,267,265.58
2025-11-19,268,268.62
2025-11-20,266,266.6
2025-11-21,271,270.98
2025-11-24,275,272.44
2025-11-25,276,273.45
2025-11-26,277,275.11
2025-11-28,278,276.11
2025-12-01,282,280.11
2025-12-02,285,282.46
2025-12-03,283,281.45
2025-12-04,280,280.65
2025-12-05,278,277.78
2025-12-08,277,277.65
2025-12-09,276,276.7
2025-12-10,278,277.61
2025-12-11,277,273.395
2025-12-12,278,278.64
2025-12-15,273,273.6
2025-12-16,274,272.49
2025-12-17,271,271.6
2025-12-18,271,270.77
2025-12-19,273,273.62
2025-12-22,270,266.395
2025-12-23,272,271.77
2025-12-24,273,271.02
2025-12-26,273,273.89
2025-12-29,273,273.4
2025-12-30,272,272.8
2025-12-31,271,271.7
2026-01-02,270,270.7
2026-01-05,267,267.7
2026-01-06,262,261.76
2026-01-07,260,259.3
2026-01-08,258,258.85
2026-01-09,259,259.6
2026-01-12,260,259.96
2026-01-13,260,259.47
2026-01-14,259,260.05
2026-01-15,257,257.95
2026-01-16,255,255.9
2026-01-20,246,246.98
2026-01-21,247,247.2
2026-01-22,248,248.89
2026-01-23,247,249.74
2026-01-26,255,256.0
2026-01-27,258,257.18
2026-01-28,256,254.55
2026-01-29,258,259.42
2026-01-30,259,257.2
2026-02-02,269,268.45
2026-02-03,269,267.53
2026-02-04,276,276.04
2026-02-05,275,273.7
2026-02-06,277,277.27
2026-02-09,274,270.395
2026-02-10,273,272.76
2026-02-11,275,275.4
2026-02-12,261,257.395
2026-02-13,255,251.91
2026-02-17,263,264.25
2026-02-18,264,263.08
2026-02-19,260,260.85
2026-02-20,264,265.24
2026-02-23,266,265.9
2026-02-24,272,270.1
2026-02-25,274,274.16
2026-02-26,272,268.395
2026-02-27,264,264.65
2026-03-02,264,264.47
2026-03-03,263,263.8
2026-03-04,262,262.7
2026-03-05,260,260.95
2026-03-06,257,257.85
2026-03-09,259,258.93
2026-03-10,260,257.72
2026-03-11,260,259.47
2026-03-12,255,255.91
2026-03-13,250,248.35
2026-03-16,252,252.42
2026-03-17,254,251.67
2026-03-18,249,246.375
2026-03-19,248,247.6
2026-03-20,247,247.68
2026-03-23,251,251.53
2026-03-24,251,251.31
2026-03-25,252,252.64
2026-03-26,252,253.32
2026-03-27,248,247.99
2026-03-30,246,244.95
2026-03-31,253,255.16
2026-04-01,255,254.8
2026-04-02,255,253.53
2026-04-06,258,256.82
2026-04-07,253,250.08
